customer_id,transaction_date,purchase_amount,true_segment
CUST_00000,2023-05-11,14.39,medium
CUST_00000,2023-09-01,21.52,medium
CUST_00000,2023-09-22,32.22,medium
CUST_00000,2024-01-15,21.65,medium
CUST_00000,2024-01-26,128.51,medium
CUST_00000,2024-03-30,31.02,medium
CUST_00001,2023-11-11,97.95,low
CUST_00001,2023-11-11,40.03,low
CUST_00001,2023-11-14,77.42,low
CUST_00001,2023-11-14,77.05,low
CUST_00001,2023-11-16,49.09,low
CUST_00002,2024-02-11,30.22,low
CUST_00003,2024-01-01,20.17,low
CUST_00004,2022-12-10,273.68,high
CUST_00004,2023-02-15,168.77,high
CUST_00004,2023-02-23,304.46,high
CUST_00004,2023-03-13,137.28,high
CUST_00004,2023-05-07,109.66,high
CUST_00004,2023-05-07,89.85,high
CUST_00005,2022-09-30,828.55,high
CUST_00005,2022-10-22,337.25,high
CUST_00005,2022-11-30,216.39,high
CUST_00005,2022-12-05,476.11,high
CUST_00005,2022-12-28,107.18,high
CUST_00005,2023-01-02,110.92,high
CUST_00005,2023-01-06,139.1,high
CUST_00005,2023-01-17,348.71,high
CUST_00005,2023-01-23,654.59,high
CUST_00005,2023-02-17,227.48,high
CUST_00005,2023-03-02,411.55,high
CUST_00005,2023-03-06,145.79,high
CUST_00005,2023-03-22,559.55,high
CUST_00006,2022-12-29,204.91,high
CUST_00006,2023-01-27,1528.68,high
CUST_00006,2023-02-14,233.93,high
CUST_00006,2023-05-21,97.67,high
CUST_00006,2023-06-12,239.11,high
CUST_00006,2023-06-16,72.06,high
CUST_00006,2023-07-06,150.33,high
CUST_00006,2023-07-26,187.1,high
CUST_00006,2024-01-07,148.97,high
CUST_00006,2024-01-18,88.73,high
CUST_00006,2024-02-25,348.22,high
CUST_00006,2024-03-27,310.08,high
CUST_00007,2023-01-12,13.34,low
CUST_00008,2022-10-25,26.63,low
CUST_00008,2022-10-26,260.98,low
CUST_00008,2023-02-25,44.69,low
CUST_00008,2023-02-27,36.35,low
CUST_00008,2023-06-19,37.38,low
CUST_00008,2023-10-02,34.72,low
CUST_00009,2022-12-22,117.94,low
CUST_00009,2023-01-16,83.44,low
