feature,importance
recency,0.169999999999915
months_with_purchase,0.09999999999995
cv_order_value,0.09999999999995
recent_spend_90d,0.09499999999995251
spend_trend,0.089999999999955
frequency,0.089999999999955
purchase_rate,0.0649999999999675
customer_tenure,0.05999999999997
monetary,0.0449999999999775
avg_order_value,0.0449999999999775
min_order_value,0.03999999999998
historical_spend_rest,0.0349999999999825
std_order_value,0.029999999999985
max_order_value,0.01999999999999
avg_days_between_txns,0.0149999999999925
