frequency,monetary,recency,customer_tenure,avg_order_value,std_order_value,max_order_value,min_order_value,cv_order_value,avg_days_between_txns,recent_spend_90d,historical_spend_rest,purchase_rate,months_with_purchase,spend_trend,y_true,y_pred_best,predicted_clv,segment,segment_label,segment_emoji
4.0,213.94,33.0,321.0,53.485,19.75622855371608,77.05,31.72,0.3693788642370025,96.0,60.96,152.98000000000002,0.0138888888888888,4.0,-0.9200794152312332,49.03,10.894326608439345,10.894326608439345,MEDIUM,Medium Value,⭐
3.0,90.48,138.0,163.0,30.16,9.279337260817718,40.77,23.56,0.3076703335814893,12.5,0.0,90.48,0.12,2.0,-5.0,39.54,2.4820541261347624,2.4820541261347624,LOW,Low Value,🌱
2.0,87.88,154.0,176.0,43.94,26.9549104988312,63.0,24.88,0.6134481224130905,22.0,0.0,87.88,0.0909090909090909,1.0,-5.0,0.0,1.1158496087579108,1.1158496087579108,LOW,Low Value,🌱
1.0,21.06,175.0,175.0,21.06,0.0,21.06,21.06,0.0,365.0,0.0,21.06,1.0,1.0,-5.0,0.0,0.7543550093948456,0.7543550093948456,LOW,Low Value,🌱
5.0,757.88,20.0,143.0,151.576,110.2337542679192,324.4,54.91,0.7272507142814114,30.75,267.09000000000003,490.79,0.040650406504065,4.0,-0.6084289509573197,577.0500000000001,57.98319358193673,57.98319358193673,MEDIUM,Medium Value,⭐
1.0,29.59,216.0,216.0,29.59,0.0,29.59,29.59,0.0,365.0,0.0,29.59,1.0,1.0,-5.0,178.12,0.2498186422989467,0.2498186422989467,LOW,Low Value,🌱
7.0,496.77,53.0,254.0,70.96714285714286,40.23937736193479,140.51,31.71,0.5670141947652707,33.5,125.45,371.32,0.0348258706467661,5.0,-1.0851516735390412,0.0,94.37862074456356,94.37862074456356,MEDIUM,Medium Value,⭐
7.0,457.25,30.0,264.0,65.32142857142857,37.20737894046083,135.61,29.62,0.5696044889737032,39.0,94.22,363.03,0.0299145299145299,6.0,-1.3488451433941238,179.33,40.60710300441757,40.60710300441757,MEDIUM,Medium Value,⭐
2.0,31.01,24.0,183.0,15.505,0.3181980515339465,15.73,15.28,0.0205222864581713,159.0,15.28,15.73,0.0125786163522012,2.0,-0.0290230612172476,42.720000000000006,2.8610407796534187,2.8610407796534187,LOW,Low Value,🌱
15.0,3643.16,0.0,359.0,242.87733333333333,163.53731411108188,552.16,31.98,0.67333296140335,25.642857142857142,1963.7,1679.46,0.0417827298050139,9.0,0.1563580494128643,2051.22,1257.9325155997096,1257.9325155997096,HIGH,High Value,💎
1.0,50.12,121.0,121.0,50.12,0.0,50.12,50.12,0.0,365.0,0.0,50.12,1.0,1.0,-5.0,49.120000000000005,1.741421217287897,1.741421217287897,LOW,Low Value,🌱
7.0,2556.84,45.0,121.0,365.2628571428572,254.3862463338172,845.09,145.76,0.6964470691700382,12.666666666666666,1565.99,990.85,0.0921052631578947,3.0,0.4577099595605885,2224.05,277.5019721572628,277.5019721572628,HIGH,High Value,💎
2.0,91.93,279.0,336.0,45.965,25.293209563042808,63.85,28.08,0.5502710663122551,57.0,0.0,91.93,0.0350877192982456,2.0,-5.0,0.0,0.6433442434598581,0.6433442434598581,LOW,Low Value,🌱
3.0,59.97,1.0,327.0,19.99,5.2547787774558135,25.42,14.93,0.2628703740598206,163.0,34.55,25.42,0.00920245398773,3.0,0.3068608892642656,0.0,12.877455568216236,12.877455568216236,MEDIUM,Medium Value,⭐
2.0,161.12,279.0,300.0,80.56,52.90572936837748,117.97,43.15,0.6567245452877045,21.0,0.0,161.12,0.0952380952380952,1.0,-5.0,0.0,0.0145623748236367,0.0145623748236367,LOW,Low Value,🌱
6.0,585.6899999999999,146.0,363.0,97.615,71.28852383097858,236.91,50.79,0.7303029640012147,43.4,0.0,585.6899999999999,0.0276497695852534,5.0,-5.0,260.19,16.855280000039496,16.855280000039496,MEDIUM,Medium Value,⭐
3.0,570.29,76.0,207.0,190.09666666666664,141.8049753475996,351.99,87.9,0.7459624507580332,65.5,130.4,439.89,0.0229007633587786,3.0,-1.2159126507753055,204.98,61.1228011576718,61.1228011576718,MEDIUM,Medium Value,⭐
1.0,63.2,237.0,237.0,63.2,0.0,63.2,63.2,0.0,365.0,0.0,63.2,1.0,1.0,-5.0,0.0,0.3641818386734787,0.3641818386734787,LOW,Low Value,🌱
9.0,905.04,53.0,350.0,100.56,72.04332845586744,249.28,42.61,0.7164213251379021,37.125,121.6,783.44,0.0303030303030303,6.0,-1.862950562651196,385.04,90.43325875370994,90.43325875370994,MEDIUM,Medium Value,⭐
5.0,786.5699999999999,14.0,357.0,157.314,130.81724859512985,304.87,44.3,0.8315677472769737,85.75,144.99,641.5799999999999,0.0145772594752186,5.0,-1.4872637711187835,190.47,88.95993290302177,88.95993290302177,MEDIUM,Medium Value,⭐
2.0,99.85,1.0,40.0,49.925,11.943033534240788,58.37,41.48,0.2392194999347178,39.0,99.85,0.0,0.0512820512820512,2.0,5.0,0.0,6.470812407102391,6.470812407102391,MEDIUM,Medium Value,⭐
14.0,7910.42,0.0,316.0,565.03,439.6491360514305,1498.47,43.02,0.7780987488300276,24.307692307692307,2234.9700000000003,5675.45,0.0443037974683544,9.0,-0.9319217789855712,0.0,1600.859393891895,1600.859393891895,HIGH,High Value,💎
2.0,110.38,34.0,171.0,55.19,23.24967096541368,71.63,38.75,0.4212660077081659,137.0,71.63,38.75,0.0145985401459854,2.0,0.6143713792419436,0.0,4.646438238647188,4.646438238647188,MEDIUM,Medium Value,⭐
1.0,553.81,220.0,220.0,553.81,0.0,553.81,553.81,0.0,365.0,0.0,553.81,1.0,1.0,-5.0,0.0,2.800753078961975,2.800753078961975,LOW,Low Value,🌱
5.0,180.66,4.0,216.0,36.132,15.543327185644646,61.85,21.37,0.4301817553870432,53.0,48.510000000000005,132.15,0.0235849056603773,5.0,-1.0021546318292176,0.0,30.34701008998893,30.34701008998893,MEDIUM,Medium Value,⭐
1.0,60.14,27.0,27.0,60.14,0.0,60.14,60.14,0.0,365.0,60.14,0.0,1.0,1.0,5.0,851.95,4.153972584954792,4.153972584954792,MEDIUM,Medium Value,⭐
1.0,21.53,257.0,257.0,21.53,0.0,21.53,21.53,0.0,365.0,0.0,21.53,1.0,1.0,-5.0,0.0,0.2210976777734579,0.2210976777734579,LOW,Low Value,🌱
2.0,44.77,293.0,298.0,22.385,7.516545084013001,27.7,17.07,0.3357849043561761,5.0,0.0,44.77,0.4,1.0,-5.0,0.0,0.1712953958488394,0.1712953958488394,LOW,Low Value,🌱
